Borough,FIPS code
Aleutians East Borough,13
Anchorage Municipality,20
Bristol Bay Borough,60
Denali Borough,68
Fairbanks North Star Borough,90
Haines Borough,100
Juneau City and Borough,110
Kenai Peninsula Borough,122
Ketchikan Gateway Borough,130
Kodiak Island Borough,150
Lake and Peninsula Borough,164
Matanuska-Susitna Borough,170
North Slope Borough,185
Northwest Arctic Borough,188
Petersburg Borough,195
Sitka City and Borough,220
Skagway,230
Wrangell-Petersburg Census Area,275
Yakutat City and Borough,282
Aleutians West Census Area,16
Bethel Census Area,50
Chugach Census Area,63
Copper River Census Area,66
Dillingham Census Area,70
Hoonah–Angoon Census Area,105
Kusilvak Census Area,158
Nome Census Area,180
Prince of Wales-Hyder Census Area,198
Southeast Fairbanks Census Area,240
Yukon-Koyukuk Census Area,290
