fips,state,county,pop_in_later_year,pop_ref_later_year,pop_f,pop_m,pop_in_earlier_year,pop_ref_earlier_year,median_age,median_age_f,median_age_m,median_house_inc_val_usd,median_house_inc_yr,median_house_inc_ref_val_usd,median_house_inc_ref_yr,median_house_value_val_usd,median_house_value_yr,median_house_value_ref_yr,median_house_value_ref_yr_val_usd,avg_household_size,mar_coup_w_children,cost_of_living_usd,cost_of_living_yr,poverty_pct,adult_obes_rate,presch_obes_rate,commute_minutes,pop_per_sq_mi,pop_percent_urban,unemp_rate,unemp_date,rent_1br_usd,rent_2br_usd,rent_3br_usd,avg_farm_size,avg_farm_sales_usd,pct_farms_fam_op,avg_farm_mach_val_usd,birth_per_1000_int1,births_from_yr_int1,births_from_yr_int2,birth_per_1000_int2,births_to_yr_int1,births_to_yr_int2,pop_foreign_born,land_area_km2,land_area_mi2,water_area_km2,water_area_mi2,total_area_km2,total_area_mi2,latitude,longitude
1001,AL,Autauga,55308.0,2017,28306.0,27002.0,43671.0,2000.0,38.0,39.2,37.1,57282,2017,42013,1999,152959.0,2017.0,2000.0,82500.0,2.0,9073.0,86.5,2019,12.9,30.0,12.4,26.5,93,58.0,3.4,2015.0,532.0,599.0,794.0,318.0,49871.0,92.23,67378.0,15.1,1990.0,2000.0,13.6,1999.0,2006.0,1170.0,1539.582,594.436,25.776,9.952,1565.358,604.388,32.536382,-86.64449
1003,AL,Baldwin,212628.0,2017,107930.0,104698.0,140415.0,2000.0,42.6,44.3,40.5,55342,2017,40250,1999,199800.0,2017.0,2000.0,105300.0,2.0,33189.0,86.9,2019,9.4,24.5,10.8,25.9,133,58.0,3.5,2015.0,521.0,619.0,821.0,171.0,80697.0,90.87,65796.0,13.2,1990.0,2000.0,12.6,1999.0,2006.0,10881.0,4117.522,1589.784,1133.19,437.527,5250.712,2027.311,30.659218,-87.746067
1005,AL,Barbour,26330.0,2017,12301.0,14029.0,29038.0,2000.0,39.9,43.3,38.2,34553,2017,25101,1999,95519.0,2017.0,2000.0,57200.0,2.0,2022.0,82.2,2019,25.6,36.4,20.8,23.1,30,32.0,4.6,2015.0,364.0,437.0,541.0,359.0,114056.0,91.15,64643.0,13.8,1990.0,2000.0,13.0,1999.0,2006.0,701.0,2291.819,884.876,50.865,19.639,2342.684,904.515,31.87067,-85.405456
1007,AL,Bibb,22691.0,2017,10393.0,12298.0,20826.0,2000.0,40.0,43.6,37.0,44946,2017,31420,1999,112847.0,2017.0,2000.0,57400.0,2.0,2680.0,82.7,2019,14.3,31.7,15.4,31.6,36,32.0,3.9,2015.0,521.0,581.0,737.0,240.0,8907.0,98.4,34839.0,14.7,1990.0,2000.0,12.8,1999.0,2006.0,232.0,1612.481,622.582,9.289,3.587,1621.77,626.169,33.015893,-87.127148
1009,AL,Blount,57952.0,2017,29352.0,28600.0,51024.0,2000.0,41.1,42.6,40.1,49096,2017,35241,1999,130711.0,2017.0,2000.0,76900.0,2.0,8418.0,82.6,2019,14.7,31.5,19.9,34.7,90,10.0,3.4,2015.0,521.0,581.0,737.0,115.0,91532.0,95.59,37480.0,13.4,1990.0,2000.0,12.6,1999.0,2006.0,2638.0,1669.962,644.776,15.157,5.852,1685.119,650.628,33.977448,-86.567246
1011,AL,Bullock,10529.0,2017,4892.0,5637.0,11714.0,2000.0,41.0,42.7,38.3,30708,2017,20605,1999,71452.0,2017.0,2000.0,54000.0,2.0,381.0,81.9,2019,26.7,37.3,15.6,26.0,17,49.0,4.0,2015.0,365.0,447.0,536.0,536.0,105292.0,89.01,57499.0,15.3,1990.0,2000.0,14.7,1999.0,2006.0,193.0,1613.057,622.805,6.057,2.338,1619.113,625.143,32.101759,-85.717261
1013,AL,Butler,20225.0,2017,10773.0,9452.0,21399.0,2000.0,40.9,42.1,39.8,37616,2017,24791,1999,94984.0,2017.0,2000.0,48600.0,2.0,1957.0,82.0,2019,22.9,35.5,7.7,26.3,26,29.0,4.4,2015.0,365.0,447.0,536.0,196.0,135529.0,96.71,38514.0,13.5,1990.0,2000.0,13.4,1999.0,2006.0,212.0,2011.977,776.829,2.727,1.053,2014.704,777.882,31.751667,-86.681969
1015,AL,Calhoun,114728.0,2017,59389.0,55339.0,112249.0,2000.0,39.4,40.7,37.8,46763,2017,31768,1999,117700.0,2017.0,2000.0,65700.0,2.0,13046.0,81.9,2019,17.7,33.2,15.1,23.4,189,66.0,4.4,2015.0,382.0,474.0,626.0,111.0,63975.0,94.95,33520.0,14.2,1990.0,2000.0,13.4,1999.0,2006.0,3373.0,1569.19,605.868,16.624,6.419,1585.814,612.287,33.771706,-85.822513
1017,AL,Chambers,34062.0,2017,17680.0,16382.0,36583.0,2000.0,43.2,44.3,41.3,38668,2017,29667,1999,92417.0,2017.0,2000.0,56700.0,2.0,3093.0,81.3,2019,17.7,35.7,7.0,22.0,57,51.0,3.8,2015.0,392.0,435.0,590.0,303.0,18293.0,92.81,27990.0,14.3,1990.0,2000.0,12.1,1999.0,2006.0,443.0,1545.009,596.531,17.048,6.582,1562.057,603.113,32.917943,-85.391812
1019,AL,Cherokee,25982.0,2017,13071.0,12911.0,23988.0,2000.0,46.3,46.7,45.8,41463,2017,30874,1999,124400.0,2017.0,2000.0,63500.0,2.0,3178.0,82.6,2019,15.2,30.7,14.3,30.0,47,14.0,3.6,2015.0,381.0,458.0,545.0,222.0,62124.0,92.31,51735.0,11.6,1990.0,2000.0,11.1,1999.0,2006.0,174.0,1434.076,553.7,119.859,46.278,1553.935,599.978,34.069515,-85.654242
1021,AL,Chilton,44021.0,2017,22384.0,21637.0,39593.0,2000.0,39.1,39.9,38.3,45046,2017,32588,1999,105467.0,2017.0,2000.0,70500.0,2.0,6107.0,82.3,2019,18.2,33.9,14.2,33.2,63,13.0,3.4,2015.0,413.0,459.0,577.0,147.0,19651.0,95.65,34426.0,13.5,1990.0,2000.0,13.4,1999.0,2006.0,2233.0,1794.484,692.854,20.586,7.948,1815.07,700.802,32.85406,-86.726628
1023,AL,Choctaw,13253.0,2017,6952.0,6301.0,15922.0,2000.0,46.0,47.8,44.6,33263,2017,24749,1999,73805.0,2017.0,2000.0,46800.0,2.0,1324.0,81.3,2019,21.0,36.1,5.6,37.8,15,0.0,5.3,2015.0,381.0,435.0,552.0,226.0,24874.0,98.77,33045.0,14.1,1990.0,2000.0,12.3,1999.0,2006.0,50.0,2365.955,913.5,19.059,7.359,2385.014,920.859,31.991008,-88.248887
1025,AL,Clarke,24746.0,2017,13053.0,11693.0,27867.0,2000.0,42.4,42.9,41.0,35028,2017,27388,1999,100012.0,2017.0,2000.0,53000.0,2.0,3134.0,82.2,2019,23.8,35.1,18.3,26.2,20,24.0,6.5,2015.0,391.0,435.0,521.0,201.0,6469.0,96.48,25579.0,16.6,1990.0,2000.0,13.3,1999.0,2006.0,106.0,3207.609,1238.465,36.543,14.109,3244.152,1252.574,31.685521,-87.818624
1027,AL,Clay,13473.0,2017,6978.0,6495.0,14254.0,2000.0,44.0,44.0,44.2,38611,2017,27885,1999,95519.0,2017.0,2000.0,58000.0,2.0,1547.0,81.4,2019,18.0,31.6,14.1,26.6,22,0.0,3.8,2015.0,363.0,435.0,538.0,198.0,53401.0,96.72,35182.0,12.9,1990.0,2000.0,11.3,1999.0,2006.0,262.0,1564.252,603.961,5.285,2.04,1569.537,606.001,33.267809,-85.862051
1029,AL,Cleburne,15012.0,2017,7617.0,7395.0,14123.0,2000.0,41.9,43.3,41.1,38724,2017,30820,1999,119586.0,2017.0,2000.0,62100.0,2.0,2396.0,82.5,2019,17.9,29.3,10.2,30.3,27,0.0,4.2,2015.0,366.0,439.0,538.0,136.0,159449.0,96.01,38841.0,12.9,1990.0,2000.0,12.1,1999.0,2006.0,246.0,1450.653,560.1,2.366,0.913,1453.018,561.013,33.671981,-85.516109
1031,AL,Coffee,51325.0,2017,26003.0,25322.0,43615.0,2000.0,39.5,40.4,38.6,51590,2017,33664,1999,158093.0,2017.0,2000.0,70200.0,2.0,6529.0,83.4,2019,15.2,32.5,16.6,21.4,76,53.0,3.8,2015.0,397.0,450.0,616.0,231.0,156919.0,92.86,61834.0,13.8,1990.0,2000.0,12.7,1999.0,2006.0,1905.0,1758.529,678.972,3.945,1.523,1762.474,680.495,31.402183,-85.989201
1033,AL,Colbert,54704.0,2017,28460.0,26244.0,54984.0,2000.0,42.7,44.4,41.4,47092,2017,31954,1999,116056.0,2017.0,2000.0,68200.0,2.0,6715.0,82.2,2019,15.8,35.7,14.7,23.8,92,56.0,4.6,2015.0,400.0,486.0,620.0,226.0,59251.0,95.38,52054.0,12.9,1990.0,2000.0,11.3,1999.0,2006.0,965.0,1534.877,592.619,76.431,29.51,1611.308,622.129,34.703112,-87.801457
1035,AL,Conecuh,12711.0,2017,6648.0,6063.0,14089.0,2000.0,44.7,45.3,43.2,31515,2017,22111,1999,81400.0,2017.0,2000.0,48700.0,2.0,1230.0,82.0,2019,24.8,32.6,18.9,26.2,15,19.0,5.0,2015.0,381.0,435.0,552.0,222.0,14069.0,94.85,27257.0,14.8,1990.0,2000.0,12.4,1999.0,2006.0,103.0,2201.895,850.156,6.645,2.566,2208.54,852.722,31.428293,-86.992029
1037,AL,Coosa,11009.0,2017,5514.0,5495.0,12202.0,2000.0,46.1,45.8,46.4,36028,2017,29873,1999,93380.0,2017.0,2000.0,53300.0,2.0,987.0,81.9,2019,13.5,34.5,8.6,27.7,17,0.0,3.9,2015.0,391.0,435.0,589.0,173.0,6465.0,96.93,31669.0,11.7,1990.0,2000.0,9.9,1999.0,2006.0,64.0,1685.891,650.926,39.947,15.423,1725.838,666.349,32.931445,-86.243482
1039,AL,Covington,37704.0,2017,19502.0,18202.0,37631.0,2000.0,43.6,45.3,41.9,40869,2017,26336,1999,102900.0,2017.0,2000.0,52900.0,2.0,4752.0,82.0,2019,16.6,31.6,5.7,23.6,36,30.0,4.3,2015.0,363.0,435.0,593.0,199.0,66644.0,94.18,45680.0,12.8,1990.0,2000.0,12.3,1999.0,2006.0,302.0,2668.87,1030.456,34.526,13.331,2703.396,1043.787,31.243987,-86.448721
1041,AL,Crenshaw,13934.0,2017,7123.0,6811.0,13665.0,2000.0,41.6,43.8,40.4,40320,2017,26054,1999,82149.0,2017.0,2000.0,48200.0,2.0,1588.0,81.1,2019,16.5,34.6,18.7,31.8,23,0.0,3.8,2015.0,365.0,447.0,536.0,229.0,130084.0,95.61,40279.0,12.9,1990.0,2000.0,12.5,1999.0,2006.0,289.0,1576.888,608.84,5.376,2.076,1582.264,610.916,31.732826,-86.319222
1043,AL,Cullman,82755.0,2017,41783.0,40972.0,77483.0,2000.0,41.5,43.2,40.4,45044,2017,32256,1999,123700.0,2017.0,2000.0,78800.0,2.0,11295.0,82.7,2019,13.1,29.4,16.7,28.2,112,27.0,3.4,2015.0,390.0,457.0,615.0,101.0,146658.0,96.13,44425.0,12.7,1990.0,2000.0,12.4,1999.0,2006.0,2010.0,1903.228,734.841,52.267,20.18,1955.495,755.021,34.131923,-86.869267
1045,AL,Dale,49637.0,2017,25019.0,24618.0,49129.0,2000.0,37.3,39.7,35.4,46299,2017,31998,1999,115522.0,2017.0,2000.0,62800.0,2.0,6607.0,82.5,2019,18.4,33.1,11.1,20.7,88,49.0,4.1,2015.0,388.0,435.0,628.0,304.0,97090.0,92.37,52422.0,15.9,1990.0,2000.0,15.6,1999.0,2006.0,1422.0,1453.371,561.15,4.016,1.551,1457.388,562.701,31.430654,-85.609476
1047,AL,Dallas,40956.0,2017,22075.0,18881.0,46365.0,2000.0,39.5,40.5,37.3,31133,2017,23370,1999,86427.0,2017.0,2000.0,57100.0,2.0,2746.0,81.2,2019,30.0,41.2,8.9,23.6,42,54.0,6.3,2015.0,402.0,446.0,562.0,481.0,52622.0,90.2,73214.0,17.4,1990.0,2000.0,15.8,1999.0,2006.0,591.0,2534.807,978.695,39.135,15.11,2573.942,993.805,32.33354,-87.114356
1049,AL,DeKalb,71617.0,2017,37015.0,34602.0,64452.0,2000.0,38.7,38.7,38.7,39373,2017,30137,1999,114500.0,2017.0,2000.0,61700.0,2.0,9726.0,82.4,2019,20.6,31.7,20.7,23.9,92,10.0,3.8,2015.0,345.0,435.0,579.0,109.0,123254.0,96.28,38531.0,13.7,1990.0,2000.0,14.5,1999.0,2006.0,5916.0,2012.662,777.093,4.124,1.592,2016.786,778.685,34.460929,-85.803992
