condition_12,condition_16,dewpoint_12,dewpoint_16,fips,humidity_12,humidity_16,lat,long,peakgust_12,peakgust_16,precip_12,precip_16,precip_3_12,precip_3_16,precip_6_12,precip_6_16,pressure_12,pressure_16,snowdepth_12,snowdepth_16,station,temp_12,temp_16,wind_dir_12,wind_dir_16,windspeed_12,windspeed_16
,,7.3,3.6,1001,68.0,38.0,32.536382,-86.64449,,,,,,,,,1015.7,1024.9,,,KMXF0,13.1,18.1,340.0,70.0,16.6,11.2
,,10.1,17.0,1003,68.0,100.0,30.659218,-87.74606700000002,,,,0.3,,,,,,,,,KCQF0,16.0,17.0,330.0,90.0,18.4,14.8
,,8.3,4.1,1005,77.0,35.0,31.87067,-85.405456,,,0.0,0.0,,,,,1014.0,1023.9,,,KEUF0,12.2,20.0,320.0,,9.4,11.2
,,,,1007,,,33.015893,-87.12714799999998,,,,,,,,,,,,,72229,,,,,,
,,9.1,7.1,1009,94.0,49.0,33.977447999999995,-86.567246,,,,,,,,,,,,,K8A00,10.0,18.0,70.0,180.0,5.4,14.8
,,7.3,7.8,1011,72.0,52.0,32.101759,-85.717261,,,0.0,0.0,,,,,1015.1,1024.3,,,KTOI0,12.2,17.8,330.0,110.0,18.4,13.0
,,7.3,7.2,1013,67.0,45.0,31.751666999999998,-86.681969,,,,0.0,,,,,1014.8,1023.4,,,KPRN0,13.3,19.4,300.0,80.0,13.0,13.0
,,7.8,2.4,1015,86.0,37.0,33.771706,-85.822513,,,0.0,0.0,,,,,1015.8,1025.8,,,KANB0,10.0,17.2,,100.0,0.0,11.2
,,,5.5,1017,,44.0,32.917943,-85.391812,,,,,,,,,,,,,KLGC0,10.0,17.9,60.0,,5.4,0.0
,,7.1,5.0,1019,82.0,40.0,34.069515,-85.65424200000002,,,,,,,,,,1028.1,,,KGAD0,10.0,18.9,60.0,80.0,11.2,9.4
,,,,1021,,,32.85406,-86.726628,,,,,,,,,,,,,72230,,,,,,
,,,,1023,,,31.991008,-88.248887,,,,,,,,,,,,,,,,,,,
,,,,1025,,,31.685521,-87.818624,,,,,,,,,,,,,,,,,,,
,,7.8,2.4,1027,86.0,37.0,33.267809,-85.862051,,,0.0,0.0,,,,,1015.8,1025.8,,,KANB0,10.0,17.2,,100.0,0.0,11.2
,,7.8,2.4,1029,86.0,37.0,33.671981,-85.516109,,,0.0,0.0,,,,,1015.8,1025.8,,,KANB0,10.0,17.2,,100.0,0.0,11.2
,,,,1031,,,31.402183,-85.989201,,,,,,,,,,,,,KSXS0,,,,,,
,,6.0,5.2,1033,66.0,33.0,34.703112,-87.801457,,,0.0,0.0,,,,,1016.3,1024.0,,,KMSL0,12.2,22.2,,,0.0,7.6
,,7.9,8.8,1035,65.0,52.0,31.428293,-86.992029,,,0.0,0.0,,,,,1016.0,1023.3,,,KGZH0,14.4,18.9,320.0,100.0,13.0,11.2
,,8.9,6.2,1037,78.0,52.0,32.931445000000004,-86.243482,,,,,,,,,,,,,KALX0,12.6,16.1,280.0,70.0,13.0,5.4
,,7.1,8.3,1039,53.0,45.0,31.243987,-86.44872099999998,,,0.0,0.0,,,,,1014.2,1023.2,,,K79J0,16.7,20.6,340.0,110.0,16.6,11.2
,,7.3,7.2,1041,67.0,45.0,31.732826,-86.319222,,,,0.0,,,,,1014.8,1023.4,,,KPRN0,13.3,19.4,300.0,80.0,13.0,13.0
,,6.4,2.0,1043,92.0,34.0,34.131923,-86.86926700000002,,,,,,,,,,,,,K3A10,7.6,18.1,360.0,,7.6,0.0
,,8.3,8.9,1045,69.0,56.0,31.430653999999997,-85.609476,,,,0.0,,,,,1014.3,1023.4,,,KLOR0,13.9,17.8,,,9.4,9.4
,,,,1047,,,32.33354,-87.114356,,,,,,,,,,,,,KSEM0,,,,,,
,,5.9,0.2,1049,81.0,32.0,34.460929,-85.80399200000002,,,,,,,,,,,,,K4A90,9.0,17.0,90.0,90.0,5.4,9.4
,,7.3,3.6,1051,68.0,38.0,32.597229,-86.142739,,,,,,,,,1015.7,1024.9,,,KMXF0,13.1,18.1,340.0,70.0,16.6,11.2
,,7.8,9.5,1053,62.0,49.0,31.121747999999997,-87.168429,,,0.0,0.0,,,,,1015.4,1022.5,,,KGZH0,15.0,20.6,320.0,100.0,11.2,14.8
,,7.1,5.0,1055,82.0,40.0,34.047638,-86.03442,,,,,,,,,,1028.1,,,KGAD0,10.0,18.9,60.0,80.0,11.2,9.4
,,7.1,5.0,1057,63.0,35.0,33.732248999999996,-87.752049,,,,,,,,,,,,,KJFX0,14.0,21.0,30.0,,9.4,0.0
,,5.9,6.0,1059,71.0,43.0,34.441988,-87.842815,,,,,,,,,1017.5,1026.6,,,K1M40,11.0,18.9,,,0.0,9.4
,,8.2,8.5,1061,74.0,53.0,31.090866,-85.82434599999998,,,,,,,,,1014.5,1023.8,,,KOZR0,12.7,18.2,310.0,80.0,16.6,13.0
,,,7.6,1063,,37.0,32.844497,-87.964201,,,,,,,,,,,,,KDYA0,,23.1,,120.0,,11.2
,,,,1065,,,32.752796000000004,-87.62306099999998,,,,,,,,,,,,,KA080,,,,,,
,,7.9,9.4,1067,72.0,56.0,31.516978,-85.239971,,,0.0,0.0,,,,,1015.4,1024.8,,,KDHN0,12.8,18.3,330.0,70.0,18.4,9.4
,,7.9,9.4,1069,72.0,56.0,31.158193,-85.296398,,,0.0,0.0,,,,,1015.4,1024.8,,,KDHN0,12.8,18.3,330.0,70.0,18.4,9.4
,,7.0,3.1,1071,87.0,37.0,34.763521999999995,-85.9774,,,,,,,,,,,,,K4A60,9.0,18.0,,,,0.0
,,6.7,2.2,1073,80.0,34.0,33.553444,-86.896536,,,0.0,0.0,,,,,1016.6,1025.5,,,72228,10.0,18.3,340.0,140.0,16.6,14.8
,,7.0,8.6,1075,65.0,46.0,33.787085,-88.08743100000002,,,,,,,,,1017.0,1023.8,,,KCBM0,13.4,20.6,330.0,190.0,13.0,7.6
,,6.0,5.2,1077,66.0,33.0,34.904121999999994,-87.650997,,,0.0,0.0,,,,,1016.3,1024.0,,,KMSL0,12.2,22.2,,,0.0,7.6
,,6.0,5.2,1079,66.0,33.0,34.529776,-87.321865,,,0.0,0.0,,,,,1016.3,1024.0,,,KMSL0,12.2,22.2,,,0.0,7.6
,,8.0,1.6,1081,67.0,35.0,32.604064,-85.353048,,,0.0,0.0,,,,,,1025.0,,,KCSG0,14.0,17.2,320.0,140.0,14.8,5.4
,,7.2,3.7,1083,86.0,38.0,34.810239,-86.9814,,,0.0,0.0,,,,,1016.9,1025.4,,,KDCU0,9.4,18.3,310.0,,7.6,0.0
,,7.3,7.2,1085,67.0,45.0,32.147888,-86.650586,,,,0.0,,,,,1014.8,1023.4,,,KPRN0,13.3,19.4,300.0,80.0,13.0,13.0
,,7.3,3.4,1087,67.0,37.0,32.387027,-85.692887,,,0.0,0.0,,,,,1015.6,1024.6,,,72226,13.3,18.3,330.0,80.0,18.4,18.4
,,6.0,0.2,1089,87.0,30.0,34.764238,-86.55108,,,,,,,,,,,,,KMDQ0,8.0,18.0,,170.0,0.0,9.4
,,,7.6,1091,,37.0,32.247591,-87.79109100000002,,,,,,,,,,,,,KDYA0,,23.1,,120.0,,11.2
,,6.2,6.6,1093,62.0,39.0,34.138219,-87.881551,,,0.0,0.0,,,,,1016.9,1023.4,,,72332,13.3,21.1,320.0,,13.0,0.0
